Title,Date,Link
Ini Pernyataan Hersubeno Arief soal 'Megawati Koma' yang Berujung ke Polisi    ,"Rabu, 15 Sep 2021 20:17 WIB",https://news.detik.com/berita/d-5725650/ini-pernyataan-hersubeno-arief-soal-megawati-koma-yang-berujung-ke-polisi
Ini Sikap Jokowi soal Novel Baswedan dkk Segera Diberhentikan KPK    ,"Rabu, 15 Sep 2021 19:02 WIB",https://news.detik.com/berita/d-5725567/ini-sikap-jokowi-soal-novel-baswedan-dkk-segera-diberhentikan-kpk
"Dipolisikan PDIP DKI soal Hoax 'Megawati Koma', Ini Kata Hersubeno Arief    ","Rabu, 15 Sep 2021 19:50 WIB",https://news.detik.com/berita/d-5725643/dipolisikan-pdip-dki-soal-hoax-megawati-koma-ini-kata-hersubeno-arief
Jabar Hari Ini: Boris 'Preman Pensiun' Ditangkap-Karyawan DAMRI Tak Digaji 7 Bulan    ,"Rabu, 15 Sep 2021 21:07 WIB",https://news.detik.com/berita-jawa-barat/d-5725716/jabar-hari-ini-boris-preman-pensiun-ditangkap-karyawan-damri-tak-digaji-7-bulan
Saat Jet Tempur Taiwan Mendarat di Jalan    ,"Rabu, 15 Sep 2021 22:36 WIB",https://news.detik.com/internasional/d-5725764/saat-jet-tempur-taiwan-mendarat-di-jalan
Akhir Ngenas Perampok Toko Emas Pajak Limun Medan Ditembus Timah Panas    ,"Rabu, 15 Sep 2021 22:10 WIB",https://news.detik.com/berita/d-5725750/akhir-ngenas-perampok-toko-emas-pajak-limun-medan-ditembus-timah-panas
2 WNA Pelaku Skimming ATM Pakai Uang Nasabah buat Beli Kripto    ,"Rabu, 15 Sep 2021 22:18 WIB",https://news.detik.com/berita/d-5725752/2-wna-pelaku-skimming-atm-pakai-uang-nasabah-buat-beli-kripto
Polda Papua Terjunkan Tim Khusus Tumpas KKB di Pegunungan Bintang    ,"Rabu, 15 Sep 2021 21:37 WIB",https://news.detik.com/berita/d-5725736/polda-papua-terjunkan-tim-khusus-tumpas-kkb-di-pegunungan-bintang
Melepuh Muka Bocah di Riau Gegara Tidur di Masjid Jelang Subuh    ,"Rabu, 15 Sep 2021 21:32 WIB",https://news.detik.com/berita/d-5725733/melepuh-muka-bocah-di-riau-gegara-tidur-di-masjid-jelang-subuh
"Dengar Keluhan Suroto Peternak Telur, Jokowi Perintahkan Ini ke Mendag    ","Rabu, 15 Sep 2021 19:36 WIB",https://news.detik.com/berita/d-5725636/dengar-keluhan-suroto-peternak-telur-jokowi-perintahkan-ini-ke-mendag
WNA Pelaku Skimming ATM di Jakarta Dapat Data Nasabah dari Telegram    ,"Rabu, 15 Sep 2021 20:45 WIB",https://news.detik.com/berita/d-5725680/wna-pelaku-skimming-atm-di-jakarta-dapat-data-nasabah-dari-telegram
Terkuak Pencucian Uang Miliaran Rupiah di Kasus Tes Antigen Daur Ulang    ,"Rabu, 15 Sep 2021 21:08 WIB",https://news.detik.com/berita/d-5725717/terkuak-pencucian-uang-miliaran-rupiah-di-kasus-tes-antigen-daur-ulang
"Mengenal Sosok Nurhali, Kepsek di Tangerang yang Punya Harta Triliunan    ","Rabu, 15 Sep 2021 18:42 WIB",https://news.detik.com/berita/d-5725501/mengenal-sosok-nurhali-kepsek-di-tangerang-yang-punya-harta-triliunan
Polisi Kembali Datangi Rumah yang Jadi TKP  Pembunuhan Sadis di Subang    ,"Rabu, 15 Sep 2021 21:51 WIB",https://news.detik.com/berita-jawa-barat/d-5725742/polisi-kembali-datangi-rumah-yang-jadi-tkp--pembunuhan-sadis-di-subang
Jokowi Sebut Isu Perpanjangan Jabatan Presiden Merugikan Dirinya: Saya Menolak!    ,"Rabu, 15 Sep 2021 19:31 WIB",https://news.detik.com/berita/d-5725632/jokowi-sebut-isu-perpanjangan-jabatan-presiden-merugikan-dirinya-saya-menolak
"2 WNA Pelaku Skimming ATM Cuma 'Bawahan', Jaringan Atasnya Ada di LN    ","Rabu, 15 Sep 2021 21:31 WIB",https://news.detik.com/berita/d-5725731/2-wna-pelaku-skimming-atm-cuma-bawahan-jaringan-atasnya-ada-di-ln
Keji Ulah Pria di Sulsel Berkomplot Diduga Perkosa Mantan Istri    ,"Rabu, 15 Sep 2021 20:32 WIB",https://news.detik.com/berita/d-5725673/keji-ulah-pria-di-sulsel-berkomplot-diduga-perkosa-mantan-istri
"Bareng Bobby, Kapoldasu Umumkan Tangkap 5 Rampok Toko Emas Bersenpi di Medan    ","Rabu, 15 Sep 2021 19:32 WIB",https://news.detik.com/berita/d-5725634/bareng-bobby-kapoldasu-umumkan-tangkap-5-rampok-toko-emas-bersenpi-di-medan
Polisi: Perampok Toko Emas di Medan Beli Senpi dari Aceh    ,"Rabu, 15 Sep 2021 21:16 WIB",https://news.detik.com/berita/d-5725720/polisi-perampok-toko-emas-di-medan-beli-senpi-dari-aceh
"Jenderal AS Telepon China Khawatir Serangan Nuklir, Trump: Pengkhianatan!    ","Rabu, 15 Sep 2021 19:30 WIB",https://news.detik.com/internasional/d-5725631/jenderal-as-telepon-china-khawatir-serangan-nuklir-trump-pengkhianatan
